Algorithm;Cores;Tiles;N_train;N_test;N_regressor;Total_time;Assemble_time;Cholesky_time;Triangular_time;Predict_time;Error;5
left;1;10;20000;5000;100;1426513510;53752285;1368812984;3069120;685074;0.004916
left;1;10;20000;5000;100;1426324430;53658425;1368803451;3046908;682431;0.004916
left;1;10;20000;5000;100;1423946828;54107135;1366020601;3010042;687070;0.004916
left;1;10;20000;5000;100;1422487157;53833107;1364824130;3010993;683250;0.004916
left;1;10;20000;5000;100;1421122327;53580039;1363710670;3028262;683583;0.004916
left;2;10;20000;5000;100;726044263;53977467;1383643056;3088795;744693;0.004916
left;2;10;20000;5000;100;724705618;54195142;1382116051;3124423;749417;0.004916
left;2;10;20000;5000;100;727996470;53992112;1380706634;3121318;735341;0.004916
left;2;10;20000;5000;100;727498203;53537779;1380722702;3058403;742842;0.004916
left;2;10;20000;5000;100;727630713;54971337;1379987857;3062191;731407;0.004916
left;4;10;20000;5000;100;396665542;52761141;1466871048;3552290;861099;0.004916
left;4;10;20000;5000;100;395413180;53410161;1454971960;3518379;858415;0.004916
left;4;10;20000;5000;100;396311065;53932680;1458222852;3464068;859165;0.004916
left;4;10;20000;5000;100;399772291;53773695;1460022986;3465083;857228;0.004916
left;4;10;20000;5000;100;396463621;54003406;1455475498;3475550;845678;0.004916
left;8;10;20000;5000;100;351430290;56701309;2464796345;5453614;1384287;0.004916
left;8;10;20000;5000;100;359642999;57884117;2521788710;5403645;1415906;0.004916
left;8;10;20000;5000;100;357001561;56496328;2519761035;5519189;1387846;0.004916
left;8;10;20000;5000;100;352264632;56593806;2449658346;5316960;1392484;0.004916
left;8;10;20000;5000;100;355140749;59744083;2519821281;5324368;1376443;0.004916
left;16;200;20000;5000;100;62561008;86720085;903332856;1248478;1146282;0.004916
left;16;200;20000;5000;100;62315286;86906314;899216994;1233623;1117628;0.004916
left;16;200;20000;5000;100;62219261;86420973;897828818;1265439;1139069;0.004916
left;16;200;20000;5000;100;62142529;86544435;896851326;1219032;1200322;0.004916
left;16;200;20000;5000;100;62107043;85908053;896787203;1223226;1220923;0.004916
left;32;200;20000;5000;100;32332673;93087994;925057933;1791873;1930399;0.004916
left;32;200;20000;5000;100;32397281;93328404;926953129;1458256;1784401;0.004916
left;32;200;20000;5000;100;32428482;94049412;926590148;1436975;1902298;0.004916
left;32;200;20000;5000;100;32421196;93860168;926626306;1370046;1994868;0.004916
left;32;200;20000;5000;100;32410382;94249428;926445934;1459852;1878388;0.004916
left;64;200;20000;5000;100;19724785;149807553;1082834512;1848107;3450048;0.004916
left;64;200;20000;5000;100;19753092;148487503;1085787024;1672238;4066953;0.004916
left;64;200;20000;5000;100;19699268;144297278;1086467276;1665101;3865087;0.004916
left;64;200;20000;5000;100;19692634;142258962;1087631859;1665879;3924479;0.004916
left;64;200;20000;5000;100;19678450;142106230;1086988496;1673190;3891459;0.004916
left;128;200;20000;5000;100;12568038;174878350;1205327844;8219533;8287787;0.004916
left;128;200;20000;5000;100;12822072;190552069;1215844570;9374216;9216203;0.004916
left;128;200;20000;5000;100;13127622;213555755;1224979317;10079277;10829155;0.004916
left;128;200;20000;5000;100;13272732;232377284;1231363087;7993886;10725641;0.004916
left;128;200;20000;5000;100;13217616;241397627;1226106832;8070506;10517253;0.004916
