Cores;N_train;N_test;N_regressor;Total_time;Assemble_time;Solve_time;Predict_time;Error;1
1;20000;5000;100;307.004547;161.619215;145.238976;0.146354;0.004916;
2;20000;5000;100;155.252279;75.777679;79.408054;0.066545;0.004916;
4;20000;5000;100;81.980113;38.638821;43.293290;0.048002;0.004916;
8;20000;5000;100;41.635844;19.507201;22.112288;0.016353;0.004916;
16;20000;5000;100;22.895384;10.343777;12.541858;0.009748;0.004916;
32;20000;5000;100;12.629889;5.253984;7.370033;0.005871;0.004916;
64;20000;5000;100;9.567194;2.911468;6.648500;0.007225;0.004916;
128;20000;5000;100;10.355405;2.366895;7.978875;0.009634;0.004916;
